household_id,person_number,psu,province_code,sex_code,age,population_group_code,geo_type_code,metro_indicator,person_weight,household_id_flag,age_flag,province,sex,population_group,geo_type,metro
160100090000007201,01,16010009000,1,1,27,1,3,2,1139.79439443,,,Western Cape,Male,Black African,Farms,Non-metro
160100090000013801,01,16010009000,1,1,36,1,3,2,1701.93504168,,,Western Cape,Male,Black African,Farms,Non-metro
160100090000013801,02,16010009000,1,2,30,1,3,2,1701.93504168,,,Western Cape,Female,Black African,Farms,Non-metro
160100330000001101,01,16010033000,1,1,55,2,1,2,1206.19017272,,,Western Cape,Male,Coloured,Urban,Non-metro
160100330000001101,02,16010033000,1,2,49,2,1,2,1206.19017272,,,Western Cape,Female,Coloured,Urban,Non-metro
160100330000001101,03,16010033000,1,2,33,2,1,2,1206.19017272,,,Western Cape,Female,Coloured,Urban,Non-metro
160100330000001101,04,16010033000,1,1,21,2,1,2,1206.19017272,,,Western Cape,Male,Coloured,Urban,Non-metro
160100330000008601,01,16010033000,1,1,49,2,1,2,1262.55867254,,,Western Cape,Male,Coloured,Urban,Non-metro
160100330000008601,02,16010033000,1,1,23,2,1,2,1262.55867254,,,Western Cape,Male,Coloured,Urban,Non-metro
160100330000013601,01,16010033000,1,1,45,4,1,2,1170.08823893,,,Western Cape,Male,White,Urban,Non-metro
160100330000013601,02,16010033000,1,2,44,4,1,2,1170.08823893,,,Western Cape,Female,White,Urban,Non-metro
160100630000003601,01,16010063000,1,1,43,2,1,2,1266.93184878,,,Western Cape,Male,Coloured,Urban,Non-metro
160100630000003601,02,16010063000,1,2,36,2,1,2,1266.93184878,,,Western Cape,Female,Coloured,Urban,Non-metro
160100630000003601,03,16010063000,1,1,17,2,1,2,1266.93184878,,,Western Cape,Male,Coloured,Urban,Non-metro
160100630000007201,01,16010063000,1,1,39,2,1,2,1435.4177784,,,Western Cape,Male,Coloured,Urban,Non-metro
160100630000007201,02,16010063000,1,2,30,2,1,2,1435.4177784,,,Western Cape,Female,Coloured,Urban,Non-metro
160100630000010801,01,16010063000,1,2,31,2,1,2,1046.79571797,,,Western Cape,Female,Coloured,Urban,Non-metro
160100630000018001,01,16010063000,1,2,52,2,1,2,516.626759321,,,Western Cape,Female,Coloured,Urban,Non-metro
160100630000018001,02,16010063000,1,2,52,2,1,2,516.626759321,,,Western Cape,Female,Coloured,Urban,Non-metro
160100630000021601,01,16010063000,1,2,55,2,1,2,1054.4558401,,,Western Cape,Female,Coloured,Urban,Non-metro
160100630000021601,02,16010063000,1,1,25,2,1,2,1054.4558401,,,Western Cape,Male,Coloured,Urban,Non-metro
160100630000021601,03,16010063000,1,2,16,2,1,2,1054.4558401,,,Western Cape,Female,Coloured,Urban,Non-metro
160100920000004701,01,16010092000,1,1,56,4,3,2,1491.90893161,,,Western Cape,Male,White,Farms,Non-metro
160100920000004701,02,16010092000,1,2,49,4,3,2,1491.90893161,,,Western Cape,Female,White,Farms,Non-metro
160100920000004701,03,16010092000,1,2,17,4,3,2,1491.90893161,,,Western Cape,Female,White,Farms,Non-metro
160101410000022701,01,16010141000,1,2,39,2,1,2,730.35112800700006,,,Western Cape,Female,Coloured,Urban,Non-metro
160101410000022701,02,16010141000,1,2,18,2,1,2,730.35112800700006,,,Western Cape,Female,Coloured,Urban,Non-metro
161100010000007501,01,16110001000,1,1,58,4,3,2,885.32268258,,,Western Cape,Male,White,Farms,Non-metro
161100010000007501,02,16110001000,1,2,61,4,3,2,885.32268258,,,Western Cape,Female,White,Farms,Non-metro
161100010000047501,01,16110001000,1,1,47,2,3,2,1251.09686523,,,Western Cape,Male,Coloured,Farms,Non-metro
161100010000047501,02,16110001000,1,2,38,2,3,2,1251.09686523,,,Western Cape,Female,Coloured,Farms,Non-metro
161100010000047501,03,16110001000,1,1,19,2,3,2,1251.09686523,,,Western Cape,Male,Coloured,Farms,Non-metro
161100010000087501,01,16110001000,1,2,41,2,3,2,1316.17449031,,,Western Cape,Female,Coloured,Farms,Non-metro
161100010000087501,02,16110001000,1,1,42,2,3,2,1316.17449031,,,Western Cape,Male,Coloured,Farms,Non-metro
161100010000087501,03,16110001000,1,1,15,2,3,2,1316.17449031,,,Western Cape,Male,Coloured,Farms,Non-metro
161100270000011101,01,16110027000,1,1,45,1,1,2,809.674174309,,,Western Cape,Male,Black African,Urban,Non-metro
161100270000018301,01,16110027000,1,1,35,1,1,2,1299.08721861,,,Western Cape,Male,Black African,Urban,Non-metro
161100270000018301,02,16110027000,1,2,39,1,1,2,1299.08721861,,,Western Cape,Female,Black African,Urban,Non-metro
161100270000032701,01,16110027000,1,2,54,1,1,2,838.042728224,,,Western Cape,Female,Black African,Urban,Non-metro
161100270000032701,02,16110027000,1,2,25,1,1,2,838.042728224,,,Western Cape,Female,Black African,Urban,Non-metro
161100270000039901,01,16110027000,1,1,27,1,1,2,905.086113716,,,Western Cape,Male,Black African,Urban,Non-metro
162100390000001901,01,16210039000,1,2,57,2,1,2,773.844359384,,,Western Cape,Female,Coloured,Urban,Non-metro
162100390000001901,02,16210039000,1,1,51,2,1,2,773.844359384,,,Western Cape,Male,Coloured,Urban,Non-metro
162100390000001901,03,16210039000,1,2,63,2,1,2,773.844359384,,,Western Cape,Female,Coloured,Urban,Non-metro
162100390000001901,04,16210039000,1,1,30,2,1,2,773.844359384,,,Western Cape,Male,Coloured,Urban,Non-metro
162100390000004901,01,16210039000,1,2,45,2,1,2,1856.27220289,,,Western Cape,Female,Coloured,Urban,Non-metro
162100390000004901,02,16210039000,1,2,36,2,1,2,1856.27220289,,,Western Cape,Female,Coloured,Urban,Non-metro
162100390000004901,03,16210039000,1,2,34,2,1,2,1856.27220289,,,Western Cape,Female,Coloured,Urban,Non-metro
162100390000004901,04,16210039000,1,1,31,2,1,2,1856.27220289,,,Western Cape,Male,Coloured,Urban,Non-metro
